GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backendPidev,com.pidev.backend,BackendPidevApplication,8,0,0,0,3,0,2,0,2,0
backendPidev,com.pidev.backend.serviceImpl,EmailSenderService,27,0,0,0,9,0,2,0,2,0
backendPidev,com.pidev.backend.serviceImpl,QuestionServiceImpl,413,0,50,0,92,0,34,0,9,0
backendPidev,com.pidev.backend.serviceImpl,WebSocketConfig,44,0,0,0,6,0,3,0,3,0
backendPidev,com.pidev.backend.serviceImpl,FileStorageService,131,0,6,0,28,0,10,0,7,0
backendPidev,com.pidev.backend.serviceImpl,ReponseServiceImpl,262,0,26,0,55,0,20,0,7,0
backendPidev,com.pidev.backend.serviceImpl,SignalBadWordServImpl,7,0,0,0,2,0,2,0,2,0
backendPidev,com.pidev.backend.serviceImpl,HAshtagServiceImpl,40,0,4,0,10,0,6,0,4,0
backendPidev,com.pidev.backend.serviceImpl,CourseServiceImpl,367,0,24,0,85,0,24,0,12,0
backendPidev,com.pidev.backend.serviceImpl,NotificationServiceImpl,13,0,0,0,5,0,2,0,2,0
backendPidev,com.pidev.backend.serviceImpl,ConversationServiceImpl,34,0,0,0,7,0,5,0,5,0
backendPidev,com.pidev.backend.serviceImpl,ClassroomServiceImpl,218,200,8,6,47,42,12,12,8,9
backendPidev,com.pidev.backend.serviceImpl,VoteServiceImpl,24,0,4,0,6,0,5,0,3,0
backendPidev,com.pidev.backend.serviceImpl,ReclamationServiceImpl,185,0,6,0,45,0,20,0,17,0
backendPidev,com.pidev.backend.serviceImpl,GlossaryServiceImpl,58,0,0,0,12,0,7,0,7,0
backendPidev,com.pidev.backend.serviceImpl,UserServiceImpl,43,113,7,5,10,21,5,12,1,10
backendPidev,com.pidev.backend.serviceImpl,AttachmentServiceImpl,110,0,2,0,27,0,10,0,9,0
backendPidev,com.pidev.backend.serviceImpl,ChapterServiceImpl,141,0,8,0,31,0,11,0,7,0
backendPidev,com.pidev.backend.serviceImpl,DepartmentServiceImpl.new DepartmentRepository() {...},49,0,0,0,25,0,25,0,25,0
backendPidev,com.pidev.backend.serviceImpl,DepartmentServiceImpl,78,0,6,0,17,0,10,0,7,0
backendPidev,com.pidev.backend.exception,FileUploadExceptionAdvice,22,0,2,0,4,0,3,0,2,0
backendPidev,com.pidev.backend.config,DevCorsConfiguration,42,0,0,0,5,0,2,0,2,0
backendPidev,com.pidev.backend.config,SimpleCORSFilter,62,0,0,0,19,0,5,0,5,0
backendPidev,com.pidev.backend.message,ResponseMessage,13,0,0,0,6,0,3,0,3,0
backendPidev,com.pidev.backend.message,ResponseFile,43,0,0,0,18,0,9,0,9,0
backendPidev,com.pidev.backend.controller,ReponseController,35,0,0,0,8,0,7,0,7,0
backendPidev,com.pidev.backend.controller,UserController,224,0,28,0,49,0,29,0,15,0
backendPidev,com.pidev.backend.controller,QuestionController,34,0,0,0,8,0,7,0,7,0
backendPidev,com.pidev.backend.controller,ConversationController,25,0,0,0,6,0,5,0,5,0
backendPidev,com.pidev.backend.controller,VoteController,15,0,0,0,3,0,3,0,3,0
backendPidev,com.pidev.backend.controller,ReclamationController,189,0,6,0,43,0,15,0,12,0
backendPidev,com.pidev.backend.controller,AttachementController,34,0,0,0,9,0,7,0,7,0
backendPidev,com.pidev.backend.controller,GlossaryController,28,0,0,0,6,0,5,0,5,0
backendPidev,com.pidev.backend.controller,DepartmentController,31,0,0,0,7,0,6,0,6,0
backendPidev,com.pidev.backend.controller,BadWordController,10,0,0,0,4,0,2,0,2,0
backendPidev,com.pidev.backend.controller,ClassroomController,87,0,0,0,25,0,16,0,16,0
backendPidev,com.pidev.backend.controller,CourseController,79,0,0,0,19,0,12,0,12,0
backendPidev,com.pidev.backend.controller,PostReclamationRequestModel,25,0,0,0,5,0,6,0,6,0
backendPidev,com.pidev.backend.controller,FileController,96,0,0,0,24,0,10,0,10,0
backendPidev,com.pidev.backend.controller,ChapterController,38,0,0,0,10,0,7,0,7,0
backendPidev,com.pidev.backend.entity,Course,238,38,0,0,20,9,42,4,42,4
backendPidev,com.pidev.backend.entity,Theme,15,0,0,0,2,0,1,0,1,0
backendPidev,com.pidev.backend.entity,Vote,75,0,6,0,13,0,14,0,11,0
backendPidev,com.pidev.backend.entity,Speciality,81,0,0,0,2,0,1,0,1,0
backendPidev,com.pidev.backend.entity,Department,211,0,38,0,7,0,33,0,14,0
backendPidev,com.pidev.backend.entity,Glossary,45,0,0,0,7,0,9,0,9,0
backendPidev,com.pidev.backend.entity,ReclamtionState,27,0,0,0,2,0,1,0,1,0
backendPidev,com.pidev.backend.entity,FileDB,131,0,18,0,9,0,22,0,13,0
backendPidev,com.pidev.backend.entity,Forum,76,0,0,0,10,0,16,0,16,0
backendPidev,com.pidev.backend.entity,Question,86,0,0,0,11,0,16,0,16,0
backendPidev,com.pidev.backend.entity,Exam,36,0,0,0,6,0,8,0,8,0
backendPidev,com.pidev.backend.entity,Recommendation,46,0,0,0,7,0,10,0,10,0
backendPidev,com.pidev.backend.entity,Reponse,79,0,6,0,14,0,16,0,13,0
backendPidev,com.pidev.backend.entity,ReclamationCategory,45,0,0,0,8,0,1,0,1,0
backendPidev,com.pidev.backend.entity,Reclamation,169,0,0,0,33,0,29,0,29,0
backendPidev,com.pidev.backend.entity,Technologie,249,0,0,0,6,0,1,0,1,0
backendPidev,com.pidev.backend.entity,ClassroomLvl,27,0,0,0,2,0,1,0,1,0
backendPidev,com.pidev.backend.entity,Attachment.AttachmentBuilder,56,0,0,0,1,0,8,0,8,0
backendPidev,com.pidev.backend.entity,AttachmentType,21,0,0,0,4,0,1,0,1,0
backendPidev,com.pidev.backend.entity,Reclamation.ReclamationBuilder,114,0,0,0,1,0,14,0,14,0
backendPidev,com.pidev.backend.entity,Attachment,79,0,0,0,11,0,15,0,15,0
backendPidev,com.pidev.backend.entity,Role,0,27,0,0,0,5,0,1,0,1
backendPidev,com.pidev.backend.entity,Notification,16,0,0,0,8,0,4,0,4,0
backendPidev,com.pidev.backend.entity,Hashtag,59,0,6,0,12,0,12,0,9,0
backendPidev,com.pidev.backend.entity,Chapter,56,0,0,0,8,0,10,0,10,0
backendPidev,com.pidev.backend.entity,Classroom,269,159,58,8,1,14,44,13,11,13
backendPidev,com.pidev.backend.entity,Conversation,56,0,0,0,8,0,12,0,12,0
backendPidev,com.pidev.backend.entity,SignalBadword,46,0,0,0,7,0,10,0,10,0
